id,name,imageUrl,description
1,Spaghetti Bolognese,https://umamiology.com/wp-content/uploads/2024/04/Umamiology-Spaghetti-Bolognese-RecipeCard16.jpg,A classic Italian pasta dish with rich tomato sauce.
2,Bossam,https://koreancuisinerecipes.com/wp-content/uploads/2020/08/bossam-scaled.jpg,"Korean boiled pork wraps with garlic, kimchi, and dipping sauce."
3,Tonkatsu,https://static01.nyt.com/images/2024/02/28/multimedia/ND-tonkatsu-hbtg/ND-tonkatsu-hbtg-mediumSquareAt3X.jpg,Japanese deep-fried pork cutlet with crispy breading.
4,Taco,https://www.thecookierookie.com/wp-content/uploads/2024/05/street-tacos-recipe-2.jpg,"Mexican tortilla filled with seasoned meat, vegetables, and sauce."
5,Gimbap,https://www.beyondkimchee.com/wp-content/uploads/2023/11/kimbap-seaweed-rice-rolls-thumbnail.jpg,"Korean rice rolls with seaweed, vegetables, and protein."
6,Gyoza,"https://assets.epicurious.com/photos/628ba0d3fa016bab2139efa2/1:1/w_1920,c_limit/Gyoza_RECIPE_051922_34332.jpg","Japanese dumplings filled with pork and vegetables, pan-fried to perfection."
7,Cheesecake,https://www.savorynothings.com/wp-content/uploads/2024/12/Classic-Cheesecake-Recipe-Image-SQ.jpg,Rich and creamy dessert with a buttery graham cracker crust.
8,Chow Mein,https://thebigmansworld.com/wp-content/uploads/2023/02/chicken-chow-mein-recipe.jpg,Chinese stir-fried noodles with vegetables and protein.
9,Cuban Sandwich,https://lizzylovesfood.com/wp-content/uploads/2024/05/Cuban-Sandwiches-in-Tampa-1200x1200-1.jpg,"A crispy pressed sandwich with roast pork, ham, cheese, and pickles."
10,Egg Tart,https://assets.bonappetit.com/photos/59b807037f7c9a1ef926e5f6/1:1/w_2560%2Cc_limit/portuguese-egg-custard-tarts.jpg,A sweet and creamy custard-filled pastry.
11,Bibimbap,https://carlsbadcravings.com/wp-content/uploads/2023/09/Bibimbap-9.jpg,"Korean rice bowl with assorted vegetables, egg, and spicy sauce."
12,Brownie,https://www.recipetineats.com/tachyon/2020/03/Brownies_0-SQ.jpg,A rich and fudgy chocolate dessert.
13,Tiramisu,https://butternutbakeryblog.com/wp-content/uploads/2024/05/classic-tiramisu.jpg,Classic Italian coffee-flavored dessert with mascarpone cheese.
14,Panna Cotta,https://www.liveeatlearn.com/wp-content/uploads/2024/11/vegan-panna-cotta-5.jpg,A creamy Italian dessert served with fruit sauce.
15,Shepherd's Pie,https://easydinnerideas.com/wp-content/uploads/2020/06/Easy-Shepherds-Pie.jpg,A savory pie with a minced meat base and mashed potato topping.
16,Shakshuka,https://www.eatloveeats.com/wp-content/uploads/2018/03/Shakshuka-with-Feta-and-Chorizo-Featured.jpg,A Middle Eastern dish with poached eggs in a rich tomato sauce.
17,Jambalaya,https://kolbykash.com/wp-content/uploads/2023/07/Jambalaya-Finished--scaled.jpg,"A spicy Creole rice dish with chicken, sausage, and shrimp."
18,Pad Thai,https://twokooksinthekitchen.com/wp-content/uploads/2021/02/pad-thai.jpg,"A classic Thai stir-fried noodle dish with shrimp, tofu, and peanuts."
19,Butter Chicken,https://www.mysavoryadventures.com/wp-content/uploads/2023/04/restaurant-style-butter-chicken.jpg,A rich and creamy Indian curry made with marinated chicken and a tomato-based sauce.
20,Sushi Roll,https://japan.recipetineats.com/wp-content/uploads/2019/07/Take-away-sushi-rolls_3781NM.jpg,Japanese rice roll wrapped in seaweed and filled with seafood and vegetables.
21,Ramen,https://www.craftycookbook.com/wp-content/uploads/2023/04/tonkotsu.jpg,"A Japanese noodle soup with broth, meat, and vegetables."
22,Lasagna,https://www.tasteofhome.com/wp-content/uploads/2024/10/Pepperoni-Lasagna_EXPS_TOHD24_12012_DianaRattray_6.jpg,A classic Italian layered pasta dish with meat sauce and cheese.
23,Paella,https://silveroak.com/wp-content/uploads/2020/02/Recipe-Seafood-Paella.jpg,"A Spanish rice dish with seafood, chicken, and saffron."
24,Falafel,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/01/falafel-recipe.jpg,Middle Eastern deep-fried chickpea balls served in pita.
25,Pho,https://www.recipetineats.com/tachyon/2019/04/Beef-Pho_6.jpg,"Vietnamese noodle soup with beef, herbs, and broth."
26,Biryani,https://www.cubesnjuliennes.com/wp-content/uploads/2020/07/Chicken-Biryani-Recipe.jpg,A spiced Indian rice dish with meat and vegetables.
27,Moussaka,https://www.onceuponachef.com/images/2024/12/Moussaka-32-scaled.jpg,"A Greek dish with layered eggplant, meat, and bÃ©chamel sauce."
28,Poutine,https://images.ctfassets.net/0dkgxhks0leg/2yeqWukA2traRMH2S3xIYS/909fa789452349e328dcd255d6773586/loaded_20poutine_20fries_046.jpg,Canadian fries topped with cheese curds and gravy.
29,Goulash,https://apinchofsaffron.nl/wp-content/uploads/2021/01/22A6488.jpg,"A Hungarian stew made with beef, paprika, and vegetables."
30,Churros,https://thescranline.com/wp-content/uploads/2023/09/CHURROS-S-01.jpg,Spanish fried dough pastries served with chocolate sauce.
31,Spicy Szechuan Noodles,https://lindseyeatsla.com/wp-content/uploads/2022/02/Lindsey_Eats_Sichuan_Spicy_Noodles-4-819x1024.jpg,Chinese noodles with spicy Szechuan pepper sauce.
32,Buffalo Wings,https://www.loveandotherspices.com/wp-content/uploads/2022/02/air-fryer-buffalo-chicken-wings-featured.jpg,Crispy chicken wings tossed in spicy buffalo sauce.
33,Kimchi Jjigae,https://www.cookerru.com/wp-content/uploads/2021/05/kimchi-stew-recipe-card.jpg,"Korean spicy stew with kimchi, tofu, and pork."
34,JalapeÃ±o Poppers,https://therecipecritic.com/wp-content/uploads/2019/11/jalapeno_poppers_hero.jpg,Fried jalapeÃ±os stuffed with cheese.
35,Vindaloo Curry,https://www.indianhealthyrecipes.com/wp-content/uploads/2022/11/lamb-vindaloo-recipe.jpg,Spicy Indian curry with meat and potatoes.
36,Caprese Salad,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2019/07/Caprese-Salad-2-2.jpg,"Italian salad with fresh mozzarella, tomatoes, and basil."
37,Miso Soup,https://www.justonecookbook.com/wp-content/uploads/2022/06/Miso-Soup-8297-I.jpg,"Japanese soup with tofu, seaweed, and miso paste."
38,Chicken Alfredo,https://sugarspunrun.com/wp-content/uploads/2024/02/Chicken-alfredo-recipe-1-of-1.jpg,Creamy pasta with chicken and parmesan.
39,Greek Gyro,https://laurenslatest.com/wp-content/uploads/2023/06/homemade-gyros-31.jpg,"Pita filled with grilled meat, tomatoes, and tzatziki."
40,Tom Yum Soup,https://www.aspicyperspective.com/wp-content/uploads/2019/08/tom-yum-soup-13.jpg,Thai spicy and sour shrimp soup.
41,Minestrone,https://www.savingdessert.com/wp-content/uploads/2016/01/Minestrone-Soup-5-2.jpg,Italian vegetable soup with pasta.
42,French Onion Soup,https://www.africanbites.com/wp-content/uploads/2019/01/IMG_3868.jpg,Savory soup topped with melted cheese and bread.
43,Gazpacho,https://www.cookedandloved.com/wp-content/uploads/2012/09/paleo-Gazpacho-900.jpg,Chilled Spanish tomato soup.
44,Lentil Soup,https://playswellwithbutter.com/wp-content/uploads/2020/12/Damn-Good-Lentil-Soup-15.jpg,"Comforting soup with lentils, carrots, and celery."
45,Crème Brûlée,https://veronikaskitchen.com/wp-content/uploads/2021/11/Creme-Brulee-1899.jpg,French dessert with caramelized sugar topping.
46,Mochi Ice Cream,https://kirbiecravings.com/wp-content/uploads/2016/09/mochi-ice-cream-033.jpg,Japanese sweet rice cake filled with ice cream.
47,Pavlova,https://hillstreetgrocer.com/application/files/4815/3948/1945/aussie_pavlova.jpg,Crispy meringue topped with whipped cream and fruit.
48,Banoffee Pie,https://www.thecookingcollective.com.au/wp-content/uploads/2024/11/banoffee-pie-5-of-18.jpg,Banana and toffee dessert with whipped cream.
49,Baklava,https://veenaazmanov.com/wp-content/uploads/2018/05/Pistachio-Baklava.jpg,Middle Eastern dessert with honey and nuts.
